# mG mQ mQ3 mN1
1129 1000 908 898
1129 1000 908 892
1129 1000 908 881
1129 1000 908 863
1129 1000 908 834
1129 1000 908 786
1129 1000 908 706
1129 1000 908 575
1129 1000 908 358
1129 1000 908 1
1129 1000 1108 990
1129 1000 1108 983
1129 1000 1108 972
1129 1000 1108 953
1129 1000 1108 922
1129 1000 1108 870
1129 1000 1108 784
1129 1000 1108 640
1129 1000 1108 400
1129 1000 1108 1
1129 1000 1353 990
1129 1000 1353 983
1129 1000 1353 972
1129 1000 1353 953
1129 1000 1353 922
1129 1000 1353 870
1129 1000 1353 784
1129 1000 1353 640
1129 1000 1353 400
1129 1000 1353 1
1129 1000 1651 990
1129 1000 1651 983
1129 1000 1651 972
1129 1000 1651 953
1129 1000 1651 922
1129 1000 1651 870
1129 1000 1651 784
1129 1000 1651 640
1129 1000 1651 400
1129 1000 1651 1
1129 1000 2014 990
1129 1000 2014 983
1129 1000 2014 972
1129 1000 2014 953
1129 1000 2014 922
1129 1000 2014 870
1129 1000 2014 784
1129 1000 2014 640
1129 1000 2014 400
1129 1000 2014 1
1129 1000 2458 990
1129 1000 2458 983
1129 1000 2458 972
1129 1000 2458 953
1129 1000 2458 922
1129 1000 2458 870
1129 1000 2458 784
1129 1000 2458 640
1129 1000 2458 400
1129 1000 2458 1
1129 1000 3000 990
1129 1000 3000 983
1129 1000 3000 972
1129 1000 3000 953
1129 1000 3000 922
1129 1000 3000 870
1129 1000 3000 784
1129 1000 3000 640
1129 1000 3000 400
1129 1000 3000 1
1129 1129 500 490
1129 1129 500 482
1129 1129 500 469
1129 1129 500 446
1129 1129 500 406
1129 1129 500 336
1129 1129 500 214
1129 1129 500 1
1129 1129 610 600
1129 1129 610 592
1129 1129 610 577
1129 1129 610 552
1129 1129 610 505
1129 1129 610 421
1129 1129 610 271
1129 1129 610 1
1129 1129 744 734
1129 1129 744 727
1129 1129 744 715
1129 1129 744 694
1129 1129 744 658
1129 1129 744 596
1129 1129 744 491
1129 1129 744 310
1129 1129 744 1
1129 1129 908 898
1129 1129 908 892
1129 1129 908 881
1129 1129 908 863
1129 1129 908 834
1129 1129 908 786
1129 1129 908 706
1129 1129 908 575
1129 1129 908 358
1129 1129 908 1
1129 1129 1108 1098
1129 1129 1108 1092
1129 1129 1108 1083
1129 1129 1108 1067
1129 1129 1108 1043
1129 1129 1108 1003
1129 1129 1108 940
1129 1129 1108 838
1129 1129 1108 676
1129 1129 1108 416
1129 1129 1108 1
1129 1129 1353 1119
1129 1129 1353 1113
1129 1129 1353 1104
1129 1129 1353 1088
1129 1129 1353 1063
1129 1129 1353 1023
1129 1129 1353 959
1129 1129 1353 856
1129 1129 1353 690
1129 1129 1353 425
1129 1129 1353 1
1129 1129 1651 1119
1129 1129 1651 1113
1129 1129 1651 1104
1129 1129 1651 1088
1129 1129 1651 1063
1129 1129 1651 1023
1129 1129 1651 959
1129 1129 1651 856
1129 1129 1651 690
1129 1129 1651 425
1129 1129 1651 1
1129 1129 2014 1119
1129 1129 2014 1113
1129 1129 2014 1104
1129 1129 2014 1088
1129 1129 2014 1063
1129 1129 2014 1023
1129 1129 2014 959
1129 1129 2014 856
1129 1129 2014 690
1129 1129 2014 425
1129 1129 2014 1
1129 1129 2458 1119
1129 1129 2458 1113
1129 1129 2458 1104
1129 1129 2458 1088
1129 1129 2458 1063
1129 1129 2458 1023
1129 1129 2458 959
1129 1129 2458 856
1129 1129 2458 690
1129 1129 2458 425
1129 1129 2458 1
1129 1129 3000 1119
1129 1129 3000 1113
1129 1129 3000 1104
1129 1129 3000 1088
1129 1129 3000 1063
1129 1129 3000 1023
1129 1129 3000 959
1129 1129 3000 856
1129 1129 3000 690
1129 1129 3000 425
1129 1129 3000 1
1129 1276 500 490
1129 1276 500 482
1129 1276 500 469
1129 1276 500 446
1129 1276 500 406
1129 1276 500 336
1129 1276 500 214
1129 1276 500 1
1129 1276 610 600
1129 1276 610 592
1129 1276 610 577
1129 1276 610 552
1129 1276 610 505
1129 1276 610 421
1129 1276 610 271
1129 1276 610 1
1129 1276 744 734
1129 1276 744 727
1129 1276 744 715
1129 1276 744 694
1129 1276 744 658
1129 1276 744 596
1129 1276 744 491
1129 1276 744 310
1129 1276 744 1
1129 1276 908 898
1129 1276 908 892
1129 1276 908 881
1129 1276 908 863
1129 1276 908 834
1129 1276 908 786
1129 1276 908 706
1129 1276 908 575
1129 1276 908 358
1129 1276 908 1
1129 1276 1108 1098
1129 1276 1108 1092
1129 1276 1108 1083
1129 1276 1108 1067
1129 1276 1108 1043
1129 1276 1108 1003
1129 1276 1108 940
1129 1276 1108 838
1129 1276 1108 676
1129 1276 1108 416
1129 1276 1108 1
1129 1276 1353 1119
1129 1276 1353 1113
1129 1276 1353 1104
1129 1276 1353 1088
1129 1276 1353 1063
1129 1276 1353 1023
1129 1276 1353 959
1129 1276 1353 856
1129 1276 1353 690
1129 1276 1353 425
1129 1276 1353 1
1129 1276 1651 1119
1129 1276 1651 1113
1129 1276 1651 1104
1129 1276 1651 1088
1129 1276 1651 1063
1129 1276 1651 1023
1129 1276 1651 959
1129 1276 1651 856
1129 1276 1651 690
1129 1276 1651 425
1129 1276 1651 1
1129 1276 2014 1119
1129 1276 2014 1113
1129 1276 2014 1104
1129 1276 2014 1088
1129 1276 2014 1063
1129 1276 2014 1023
1129 1276 2014 959
1129 1276 2014 856
1129 1276 2014 690
1129 1276 2014 425
1129 1276 2014 1
1129 1276 2458 1119
1129 1276 2458 1113
1129 1276 2458 1104
1129 1276 2458 1088
1129 1276 2458 1063
1129 1276 2458 1023
1129 1276 2458 959
1129 1276 2458 856
1129 1276 2458 690
1129 1276 2458 425
1129 1276 2458 1
1129 1276 3000 1119
1129 1276 3000 1113
1129 1276 3000 1104
1129 1276 3000 1088
1129 1276 3000 1063
1129 1276 3000 1023
1129 1276 3000 959
1129 1276 3000 856
1129 1276 3000 690
1129 1276 3000 425
1129 1276 3000 1
1129 1442 500 490
1129 1442 500 482
1129 1442 500 469
1129 1442 500 446
1129 1442 500 406
1129 1442 500 336
1129 1442 500 214
1129 1442 500 1
1129 1442 610 600
1129 1442 610 592
1129 1442 610 577
1129 1442 610 552
1129 1442 610 505
1129 1442 610 421
1129 1442 610 271
1129 1442 610 1
1129 1442 744 734
1129 1442 744 727
1129 1442 744 715
1129 1442 744 694
1129 1442 744 658
1129 1442 744 596
1129 1442 744 491
1129 1442 744 310
1129 1442 744 1
1129 1442 908 898
1129 1442 908 892
1129 1442 908 881
1129 1442 908 863
1129 1442 908 834
1129 1442 908 786
