&Topology&Total&(5,$-m_{1/2}$,-1)&(5,$-m_{1/2}$,1)&(5,0,-1)&(5,0,1)&(40,$-m_{1/2}$,-1)&(40,$-m_{1/2}$,1)&(40,0,-1)&(40,0,1)\\
55&C1ntaN1_N2tataN1& 0.02\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.02\% & 0.01\% & 0.04\% & 0.04\% \\
56&GtT1tN1_GtT1tN1& 0.01\% & 0.05\% & 0.04\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
57&GqQqN1_QqN2nNUTnN1& 0.01\% & 0.05\% & 0.01\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
58&TAU1taN1_TAU1taN1& 0.01\% & 0.02\% & 0.01\% & 0.02\% & 0.01\% & 0.0\% & 0.01\% & 0.0\% & 0.0\% \\
59&B2bN1_B2bN1& 0.01\% & 0.04\% & 0.01\% & 0.02\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
60&GqQqN1_QqN1& 0.01\% & 0.03\% & 0.01\% & 0.02\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
61&C1mNUnN1_N2nNUnN1& 0.01\% & 0.02\% & 0.01\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
62&C1eNUnN1_N2nNUnN1& 0.01\% & 0.02\% & 0.01\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
63&C1taNUTnN1_N2nNUnN1& 0.01\% & 0.02\% & 0.01\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
64&T1tN1_T1tN1& 0.0\% & 0.02\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
65&C1wN1_N4zN1& 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.01\% & 0.01\% & 0.01\% & 0.01\% \\
66&B1tC1wN1_B1tC1wN1& 0.0\% & 0.01\% & 0.01\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
67&GbbN1_GbbN1& 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% \\
68&T1bC2wN1_T1tN1& 0.0\% & 0.01\% & 0.0\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
69&C1eNUnN1_C1taNUTnN1& 0.0\% & 0.01\% & 0.0\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
70&C1mNUnN1_N2nNUTnN1& 0.0\% & 0.01\% & 0.0\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
71&C1eNUnN1_N2nNUTnN1& 0.0\% & 0.01\% & 0.0\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
72&C1taNUTnN1_N2nNUTnN1& 0.0\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
73&C1mNUnN1_C1nMmN1& 0.0\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
74&C1eNUnN1_C1nEeN1& 0.0\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
75&C1nEeN1_C1taNUTnN1& 0.0\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
76&GqqC1wN1_QqN1& 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
77&C1eNUnN1_C1nTAU2taN1& 0.0\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
78&GqqC1wN1_GqqC2wN1& 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
79&C1nTAU2taN1_C1taNUTnN1& 0.0\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
80&QqC1taNUTnN1_QqC1wN1& 0.0\% & 0.0\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
81&C1mNUnN1_C1mNUnN1& 0.0\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
82&C1eNUnN1_C1eNUnN1& 0.0\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
83&GqqN1_GqqN4wC1wN1& 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
84&C1taNUTnN1_C1taNUTnN1& 0.0\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
85&GqqC2zC1wN1_GqqN1& 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
86&GqqC2wN2hN1_GqqN1& 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
