# Combined results from the directory /RESULTS/primary/QqN1/results/
# M1	M2	r
568	156	6.01671075335
544	360	2.94304204492
544	300	4.26122244797
544	180	7.35636030316
544	240	5.90455988888
544	120	7.09510123308
460	0	13.0144335881
556	444	2.28835134356
556	504	1.98863940566
460	60	12.1040482879
556	384	2.45432332773
556	324	3.59069518879
556	264	5.0991438166
556	204	6.76244536635
556	144	6.30591986877
448	408	4.09944057708
556	84	8.16056853398
508	72	7.97622521736
508	24	8.73390148774
448	348	4.70368806316
448	288	4.20695741489
448	228	6.7068984217
448	0	12.8984873615
448	108	11.2371162144
448	168	9.05507115894
496	480	1.5774509127
448	48	12.3874417953
496	96	10.5079207575
496	36	8.53550817294
496	0	8.8191145203
544	492	2.21791287429
496	420	3.45723493862
496	360	3.36819372589
544	432	2.65913238498
496	300	4.4226970503
544	372	2.50891734445
544	312	4.08708008918
544	192	7.59577466071
544	252	5.29930117912
544	132	6.6184236654
496	240	6.32693340321
496	180	8.16893520215
436	396	4.33282000321
484	444	3.19019570796
436	336	5.05192782894
436	276	4.89153311598
436	156	9.7105752078
436	96	11.9710261929
484	384	3.69708797624
436	216	6.80514900261
484	264	5.41007413843
484	84	10.9368495476
484	324	3.61712196023
484	24	8.33099487533
484	204	7.73262511425
484	144	9.2735554486
484	0	11.9409909946
508	84	7.83836739719
508	36	8.57582748691
472	432	3.55999737359
496	492	1.75970423913
496	504	0.0
472	372	3.83419455525
472	312	3.86162531657
472	192	7.78818630977
472	252	5.73823443856
472	12	12.2586211412
472	132	10.4864587056
472	72	11.7606538688
472	0	12.1598737081
496	372	3.39330544066
496	432	3.25179284854
496	312	3.91727205185
496	192	7.85663555576
496	252	5.66150761149
460	420	3.66507759579
460	360	4.31677989067
460	300	4.35568470513
460	240	5.86614935627
460	120	10.911046632
460	180	8.72532858319
508	96	7.35829936139
496	384	3.45266813334
496	444	3.09210026481
460	12	12.8082655478
496	324	3.59492405979
496	264	5.26095684406
496	204	7.4247451091
460	72	12.4604133441
436	36	13.2722414759
436	0	13.1734347684
448	420	3.7404907694
448	360	4.63040599698
448	300	4.43351303467
448	240	6.2159675276
448	120	10.6494296441
448	180	8.59691217317
448	12	12.7696378149
448	60	12.713806015
496	108	10.0491590211
496	48	8.3852021402
496	12	8.63313742976
424	384	4.83884069344
424	324	5.42099829361
424	264	5.09317804016
424	204	7.62998124907
424	144	10.1649192286
424	84	12.7439011006
424	24	13.6589240102
424	0	13.7061911263
436	408	4.06285650628
484	456	2.71606205322
436	348	5.00151321338
436	288	4.9579768714
484	396	3.69480298817
436	108	11.07840384
484	276	5.26949036905
484	96	11.2028357854
484	336	3.669669063
436	228	6.64713089324
436	168	8.98229041232
484	36	8.34029141799
484	156	9.12791784195
484	216	7.00593633159
484	12	12.0998273484
412	372	5.45997798405
412	312	5.93942116199
412	132	11.001174262
412	252	5.56317924705
412	192	8.12615406437
412	72	12.9844172326
412	12	13.8308017542
412	0	13.9296431226
472	444	2.98948229749
460	24	12.9843658984
472	384	4.10172439322
472	324	3.93478336305
472	264	5.07783089565
460	84	11.4988431988
472	204	7.42045540895
472	24	12.2629146457
472	84	11.6147285311
472	144	9.82196674618
448	432	3.11718544133
400	360	5.61594381892
400	300	6.15746676555
448	372	4.51821321376
